2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 94, column 17] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 120, column 13] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 121, column 9] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 124, column 17] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 124, column 47] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 125, column 9] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 126, column 9] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 130, column 5] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 131, column 9] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 132, column 9] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 239, column 163] : $viewPengguna cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 618, column 19] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 657, column 35] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 688, column 33] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 731, column 33] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 736, column 33] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 799, column 25] : $jquery cannot be resolved.
2020-10-23 13:19:47,025 - Null reference [template 'vtl/main/greeting.vm', line 801, column 25] : $jquery cannot be resolved.
2020-10-23 13:19:48,874 - Left side ($showLangkah) of '==' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. vtl/main/module_title.vm[line 5, column 21]
2020-10-23 13:19:59,132 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 16, column 46] : $jeniskp cannot be resolved.
2020-10-23 13:19:59,132 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 24, column 59] : $hitButt cannot be resolved.
2020-10-23 13:19:59,132 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 25, column 61] : $hitButt2 cannot be resolved.
2020-10-23 13:19:59,132 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 46, column 77] : $flagSelesaiHAARB cannot be resolved.
2020-10-23 13:19:59,132 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 50, column 55] : $idHTA cannot be resolved.
2020-10-23 13:19:59,132 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 52, column 63] : $idJenisHA cannot be resolved.
2020-10-23 13:19:59,132 - RHS of #set statement is null. Context will not be modified. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 89, column 1]
2020-10-23 13:19:59,132 - RHS of #set statement is null. Context will not be modified. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 90, column 1]
2020-10-23 13:19:59,132 - RHS of #set statement is null. Context will not be modified. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 91, column 1]
2020-10-23 13:19:59,132 - RHS of #set statement is null. Context will not be modified. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 94, column 1]
2020-10-23 13:19:59,132 - RHS of #set statement is null. Context will not be modified. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 95, column 1]
2020-10-23 13:19:59,132 - Left side ($kemaskini1) of '==' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 97, column 26]
2020-10-23 13:19:59,133 - Null reference [template 'app/ppk/headerppk.jsp', line 72, column 82] : $headerppk.id_permohonan_param cannot be resolved.
2020-10-23 13:19:59,133 - RHS of #set statement is null. Context will not be modified. app/ppk/headerppk.jsp[line 78, column 1]
2020-10-23 13:19:59,133 - Null reference [template 'app/ppk/headerppk.jsp', line 147, column 60] : $id_perbicaraan cannot be resolved.
2020-10-23 13:19:59,133 - Left side ($idstatus) of '!=' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. app/ppk/headerppk.jsp[line 165, column 30]
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1085, column 9] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1089, column 17] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1093, column 9] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1098, column 9] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1106, column 9] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1110, column 9] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1127, column 25] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1131, column 33] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1135, column 25] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1140, column 25] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1148, column 25] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1152, column 25] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1160, column 9] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1195, column 9] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1197, column 45] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1197, column 112] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1200, column 21] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1200, column 75] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1215, column 45] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1219, column 50] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1226, column 45] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/headerppk.jsp', line 1230, column 50] : $jquery cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 788, column 55] : $disableZERO cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 788, column 68] : $classZero cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 788, column 109] : $check cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 788, column 116] : $checkClass cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 788, column 135] : $namaPenghantar cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 907, column 71] : $disableZERO cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 907, column 84] : $classZero cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 907, column 95] : $checkClass cannot be resolved.
2020-10-23 13:19:59,205 - Left side ($jeniskp) of '==' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 921, column 37]
2020-10-23 13:19:59,205 - Left side ($jeniskp) of '==' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 933, column 39]
2020-10-23 13:19:59,205 - Left side ($jeniskp) of '==' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. app/ppk/frmPerintahMaklumatPerintahSek8.jsp[line 940, column 39]
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 950, column 49] : $checkClass cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 950, column 61] : $disableZERO cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 950, column 74] : $classZero cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 952, column 58] : $disableZERO cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 952, column 71] : $checkClass cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 952, column 83] : $classZero cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 954, column 57] : $checkClass cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 954, column 69] : $disableZERO cannot be resolved.
2020-10-23 13:19:59,205 - Null reference [template 'app/ppk/frmPerintahMaklumatPerintahSek8.jsp', line 954, column 82] : $classZero cannot be resolved.
2020-10-23 13:19:59,206 - Left side ($!id_perintah) of '!=' operation has null value. If it is a reference, it may not be in the context or its toString() returned null. /app/ppk/tindakanPegawaiPerintahSek8.jsp[line 28, column 33]
2020-10-23 13:19:59,206 - Null reference [template 'app/ppk/headerppk_script.jsp', line 7, column 27] : $jquery cannot be resolved.
2020-10-23 13:19:59,206 - Null reference [template 'app/ppk/headerppk_script.jsp', line 15, column 27] : $jquery cannot be resolved.
2020-10-23 13:19:59,206 - Null reference [template 'app/ppk/headerppk_script.jsp', line 27, column 27] : $jquery cannot be resolved.
